QSPRID	pchembl_value_Label	pchembl_value_Prediction	pchembl_value_ProbabilityClass_0	pchembl_value_ProbabilityClass_1
Glucocorticoid_receptor_sim_3_0552	True	1	0.04	0.96
Glucocorticoid_receptor_sim_3_1425	False	0	0.8	0.2
Glucocorticoid_receptor_sim_3_0240	True	1	0.36	0.64
Glucocorticoid_receptor_sim_3_0339	True	1	0.0	1.0
Glucocorticoid_receptor_sim_3_0609	True	1	0.05	0.95
Glucocorticoid_receptor_sim_3_1776	False	0	0.52833	0.47167
Glucocorticoid_receptor_sim_3_1629	False	1	0.34133	0.65867
Glucocorticoid_receptor_sim_3_1377	False	0	0.96	0.04
Glucocorticoid_receptor_sim_3_0958	True	1	0.25	0.75
Glucocorticoid_receptor_sim_3_1332	False	0	0.98	0.02
Glucocorticoid_receptor_sim_3_1129	False	0	0.94	0.06
Glucocorticoid_receptor_sim_3_0988	True	1	0.095	0.905
Glucocorticoid_receptor_sim_3_0170	True	1	0.02	0.98
Glucocorticoid_receptor_sim_3_0911	True	1	0.01333	0.98667
Glucocorticoid_receptor_sim_3_1081	False	0	0.7	0.3
Glucocorticoid_receptor_sim_3_1519	False	0	0.94	0.06
Glucocorticoid_receptor_sim_3_1947	False	0	0.7	0.3
Glucocorticoid_receptor_sim_3_0281	True	1	0.02	0.98
Glucocorticoid_receptor_sim_3_1454	False	0	0.86	0.14
Glucocorticoid_receptor_sim_3_0981	True	1	0.16	0.84
Glucocorticoid_receptor_sim_3_0487	True	1	0.3	0.7
Glucocorticoid_receptor_sim_3_0695	True	1	0.32	0.68
Glucocorticoid_receptor_sim_3_1467	False	0	0.945	0.055
Glucocorticoid_receptor_sim_3_1554	False	0	0.84	0.16
Glucocorticoid_receptor_sim_3_1816	False	0	0.67111	0.32889
Glucocorticoid_receptor_sim_3_1063	True	0	0.768	0.232
Glucocorticoid_receptor_sim_3_1388	False	0	0.975	0.025
Glucocorticoid_receptor_sim_3_0728	True	1	0.2275	0.7725
Glucocorticoid_receptor_sim_3_0278	True	0	0.74	0.26
Glucocorticoid_receptor_sim_3_0316	True	0	0.88	0.12
Glucocorticoid_receptor_sim_3_0850	True	1	0.05833	0.94167
Glucocorticoid_receptor_sim_3_1347	False	1	0.48267	0.51733
Glucocorticoid_receptor_sim_3_0674	True	1	0.0	1.0
Glucocorticoid_receptor_sim_3_0872	True	1	0.04857	0.95143
Glucocorticoid_receptor_sim_3_0500	True	1	0.136	0.864
Glucocorticoid_receptor_sim_3_1397	False	1	0.49	0.51
Glucocorticoid_receptor_sim_3_1253	False	0	0.98	0.02
Glucocorticoid_receptor_sim_3_1231	False	0	0.72	0.28
Glucocorticoid_receptor_sim_3_0800	True	1	0.39833	0.60167
Glucocorticoid_receptor_sim_3_0353	True	1	0.0	1.0
Glucocorticoid_receptor_sim_3_0038	True	1	0.1	0.9
Glucocorticoid_receptor_sim_3_1674	False	0	0.74	0.26
Glucocorticoid_receptor_sim_3_1133	False	0	0.945	0.055
Glucocorticoid_receptor_sim_3_1048	True	1	0.265	0.735
Glucocorticoid_receptor_sim_3_1430	False	0	1.0	0.0
Glucocorticoid_receptor_sim_3_1960	False	0	0.98	0.02
Glucocorticoid_receptor_sim_3_1402	False	0	0.66333	0.33667
Glucocorticoid_receptor_sim_3_1321	False	0	0.9	0.1
Glucocorticoid_receptor_sim_3_0824	True	1	0.0	1.0
Glucocorticoid_receptor_sim_3_1223	False	0	0.71095	0.28905
Glucocorticoid_receptor_sim_3_1930	False	1	0.49367	0.50633
Glucocorticoid_receptor_sim_3_1852	False	0	0.97333	0.02667
Glucocorticoid_receptor_sim_3_0134	True	1	0.0	1.0
Glucocorticoid_receptor_sim_3_1920	False	0	0.99667	0.00333
Glucocorticoid_receptor_sim_3_1541	False	0	0.94	0.06
Glucocorticoid_receptor_sim_3_1552	False	0	0.9	0.1
Glucocorticoid_receptor_sim_3_0249	True	1	0.0	1.0
Glucocorticoid_receptor_sim_3_1968	False	0	0.51133	0.48867
Glucocorticoid_receptor_sim_3_0009	True	1	0.222	0.778
Glucocorticoid_receptor_sim_3_1828	False	0	0.98	0.02
Glucocorticoid_receptor_sim_3_1179	False	0	0.58467	0.41533
Glucocorticoid_receptor_sim_3_0020	True	1	0.08	0.92
Glucocorticoid_receptor_sim_3_1244	False	0	0.98	0.02
Glucocorticoid_receptor_sim_3_0893	True	1	0.18835	0.81165
Glucocorticoid_receptor_sim_3_0468	True	1	0.02	0.98
Glucocorticoid_receptor_sim_3_0703	True	1	0.0	1.0
Glucocorticoid_receptor_sim_3_1408	False	0	1.0	0.0
Glucocorticoid_receptor_sim_3_0905	True	1	0.06	0.94
Glucocorticoid_receptor_sim_3_0373	True	0	0.61	0.39
Glucocorticoid_receptor_sim_3_0525	True	1	0.44833	0.55167
Glucocorticoid_receptor_sim_3_0295	True	1	0.34	0.66
Glucocorticoid_receptor_sim_3_0017	True	1	0.0	1.0
Glucocorticoid_receptor_sim_3_0194	True	0	0.95333	0.04667
Glucocorticoid_receptor_sim_3_1603	False	0	0.95667	0.04333
Glucocorticoid_receptor_sim_3_1904	False	0	0.86	0.14
