QSPRID	pchembl_value_Label	pchembl_value_Prediction	pchembl_value_ProbabilityClass_0	pchembl_value_ProbabilityClass_1	Fold
Glucocorticoid_receptor_sim_3_0072	True	1	0.05867	0.94133	0.0
Glucocorticoid_receptor_sim_3_1653	False	0	0.90333	0.09667	0.0
Glucocorticoid_receptor_sim_3_0788	True	1	0.14167	0.85833	0.0
Glucocorticoid_receptor_sim_3_0016	True	1	0.14	0.86	0.0
Glucocorticoid_receptor_sim_3_1350	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_sim_3_1461	False	1	0.30852	0.69148	0.0
Glucocorticoid_receptor_sim_3_1708	False	0	0.96	0.04	0.0
Glucocorticoid_receptor_sim_3_1966	False	1	0.39357	0.60643	0.0
Glucocorticoid_receptor_sim_3_0305	True	1	0.02	0.98	0.0
Glucocorticoid_receptor_sim_3_0041	True	1	0.36	0.64	0.0
Glucocorticoid_receptor_sim_3_0514	True	1	0.36067	0.63933	0.0
Glucocorticoid_receptor_sim_3_1380	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_sim_3_0139	True	1	0.06	0.94	0.0
Glucocorticoid_receptor_sim_3_0796	True	1	0.25333	0.74667	0.0
Glucocorticoid_receptor_sim_3_1794	False	0	0.94	0.06	0.0
Glucocorticoid_receptor_sim_3_1553	False	0	0.84667	0.15333	0.0
Glucocorticoid_receptor_sim_3_0235	True	0	0.74	0.26	0.0
Glucocorticoid_receptor_sim_3_0561	True	1	0.0	1.0	0.0
Glucocorticoid_receptor_sim_3_1201	False	0	0.54	0.46	0.0
Glucocorticoid_receptor_sim_3_1951	False	0	0.94	0.06	0.0
Glucocorticoid_receptor_sim_3_1735	False	1	0.37	0.63	0.0
Glucocorticoid_receptor_sim_3_0571	True	1	0.0	1.0	0.0
Glucocorticoid_receptor_sim_3_1963	False	1	0.39876	0.60124	0.0
Glucocorticoid_receptor_sim_3_1582	False	0	0.92	0.08	0.0
Glucocorticoid_receptor_sim_3_1873	False	0	0.6875	0.3125	0.0
Glucocorticoid_receptor_sim_3_1366	False	0	0.84	0.16	0.0
Glucocorticoid_receptor_sim_3_1821	False	1	0.232	0.768	0.0
Glucocorticoid_receptor_sim_3_0668	True	1	0.00667	0.99333	0.0
Glucocorticoid_receptor_sim_3_1156	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_sim_3_0450	True	1	0.02	0.98	0.0
Glucocorticoid_receptor_sim_3_0244	True	1	0.02	0.98	0.0
Glucocorticoid_receptor_sim_3_0361	True	1	0.222	0.778	0.0
Glucocorticoid_receptor_sim_3_1761	False	0	0.92	0.08	0.0
Glucocorticoid_receptor_sim_3_0251	True	1	0.2	0.8	0.0
Glucocorticoid_receptor_sim_3_1132	False	0	0.89	0.11	0.0
Glucocorticoid_receptor_sim_3_0780	True	1	0.06	0.94	0.0
Glucocorticoid_receptor_sim_3_1648	False	1	0.311	0.689	0.0
Glucocorticoid_receptor_sim_3_1767	False	0	0.92667	0.07333	0.0
Glucocorticoid_receptor_sim_3_0967	True	0	0.6	0.4	0.0
Glucocorticoid_receptor_sim_3_1287	False	1	0.37	0.63	0.0
Glucocorticoid_receptor_sim_3_0433	True	1	0.1	0.9	0.0
Glucocorticoid_receptor_sim_3_1532	False	0	0.94	0.06	0.0
Glucocorticoid_receptor_sim_3_1128	False	0	0.58167	0.41833	0.0
Glucocorticoid_receptor_sim_3_1015	True	1	0.055	0.945	0.0
Glucocorticoid_receptor_sim_3_0135	True	1	0.05	0.95	0.0
Glucocorticoid_receptor_sim_3_1672	False	1	0.38333	0.61667	0.0
Glucocorticoid_receptor_sim_3_1952	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_sim_3_1666	False	0	0.96	0.04	0.0
Glucocorticoid_receptor_sim_3_0761	True	1	0.44	0.56	0.0
Glucocorticoid_receptor_sim_3_0617	True	1	0.11833	0.88167	0.0
Glucocorticoid_receptor_sim_3_1694	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_sim_3_1558	False	0	0.96	0.04	0.0
Glucocorticoid_receptor_sim_3_0559	True	1	0.02	0.98	0.0
Glucocorticoid_receptor_sim_3_1780	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_sim_3_1423	False	0	0.92	0.08	0.0
Glucocorticoid_receptor_sim_3_1263	False	0	0.78	0.22	0.0
Glucocorticoid_receptor_sim_3_0431	True	1	0.02	0.98	0.0
Glucocorticoid_receptor_sim_3_0024	True	1	0.055	0.945	0.0
Glucocorticoid_receptor_sim_3_0995	True	1	0.065	0.935	0.0
Glucocorticoid_receptor_sim_3_1086	False	0	0.86	0.14	0.0
Glucocorticoid_receptor_sim_3_1768	False	0	0.88	0.12	0.0
Glucocorticoid_receptor_sim_3_0672	True	1	0.06	0.94	0.0
Glucocorticoid_receptor_sim_3_0799	True	0	0.52	0.48	0.0
Glucocorticoid_receptor_sim_3_1528	False	0	0.8	0.2	0.0
Glucocorticoid_receptor_sim_3_1185	False	1	0.11	0.89	0.0
Glucocorticoid_receptor_sim_3_0809	True	0	0.93333	0.06667	0.0
Glucocorticoid_receptor_sim_3_1472	False	0	0.9	0.1	0.0
Glucocorticoid_receptor_sim_3_1182	False	0	0.6204	0.3796	0.0
Glucocorticoid_receptor_sim_3_0210	True	1	0.44867	0.55133	0.0
Glucocorticoid_receptor_sim_3_0829	True	1	0.06	0.94	0.0
Glucocorticoid_receptor_sim_3_1687	False	1	0.185	0.815	0.0
Glucocorticoid_receptor_sim_3_0490	True	0	0.82	0.18	0.0
Glucocorticoid_receptor_sim_3_0232	True	1	0.48	0.52	0.0
Glucocorticoid_receptor_sim_3_1825	False	0	0.88	0.12	0.0
Glucocorticoid_receptor_sim_3_1187	False	1	0.47443	0.52557	0.0
Glucocorticoid_receptor_sim_3_1796	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_sim_3_0436	True	1	0.04	0.96	0.0
Glucocorticoid_receptor_sim_3_1631	False	0	0.76	0.24	0.0
Glucocorticoid_receptor_sim_3_0889	True	0	0.9	0.1	0.0
Glucocorticoid_receptor_sim_3_0686	True	1	0.09933	0.90067	0.0
Glucocorticoid_receptor_sim_3_0599	True	1	0.03	0.97	0.0
Glucocorticoid_receptor_sim_3_0766	True	1	0.235	0.765	0.0
Glucocorticoid_receptor_sim_3_1819	False	0	0.84	0.16	0.0
Glucocorticoid_receptor_sim_3_1600	False	0	0.94	0.06	0.0
Glucocorticoid_receptor_sim_3_1497	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_sim_3_1754	False	0	0.865	0.135	0.0
Glucocorticoid_receptor_sim_3_1203	False	0	0.82	0.18	0.0
Glucocorticoid_receptor_sim_3_0707	True	1	0.0	1.0	0.0
Glucocorticoid_receptor_sim_3_1649	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_sim_3_0378	True	0	0.56	0.44	0.0
Glucocorticoid_receptor_sim_3_1199	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_sim_3_0182	True	1	0.29967	0.70033	0.0
Glucocorticoid_receptor_sim_3_1635	False	1	0.11	0.89	0.0
Glucocorticoid_receptor_sim_3_0757	True	1	0.409	0.591	0.0
Glucocorticoid_receptor_sim_3_1855	False	0	0.71133	0.28867	0.0
Glucocorticoid_receptor_sim_3_0994	True	1	0.24267	0.75733	0.0
Glucocorticoid_receptor_sim_3_0980	True	0	0.92	0.08	0.0
Glucocorticoid_receptor_sim_3_1610	False	0	0.9	0.1	0.0
Glucocorticoid_receptor_sim_3_0669	True	1	0.0	1.0	0.0
Glucocorticoid_receptor_sim_3_1959	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_sim_3_0074	True	1	0.02	0.98	0.0
Glucocorticoid_receptor_sim_3_1398	False	1	0.42233	0.57767	0.0
Glucocorticoid_receptor_sim_3_1419	False	0	0.50933	0.49067	0.0
Glucocorticoid_receptor_sim_3_0144	True	1	0.03333	0.96667	0.0
Glucocorticoid_receptor_sim_3_0081	True	1	0.42533	0.57467	0.0
Glucocorticoid_receptor_sim_3_0070	True	1	0.20333	0.79667	0.0
Glucocorticoid_receptor_sim_3_1745	False	0	0.8	0.2	0.0
Glucocorticoid_receptor_sim_3_0441	True	1	0.43333	0.56667	0.0
Glucocorticoid_receptor_sim_3_1854	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_sim_3_1724	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_sim_3_0601	True	1	0.02	0.98	0.0
Glucocorticoid_receptor_sim_3_0482	True	1	0.46	0.54	0.0
Glucocorticoid_receptor_sim_3_0176	True	0	0.736	0.264	0.0
Glucocorticoid_receptor_sim_3_0306	True	1	0.04	0.96	0.0
Glucocorticoid_receptor_sim_3_0406	True	1	0.06	0.94	0.0
Glucocorticoid_receptor_sim_3_0389	True	1	0.08	0.92	0.0
Glucocorticoid_receptor_sim_3_1235	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_sim_3_0507	True	1	0.165	0.835	0.0
Glucocorticoid_receptor_sim_3_0614	True	1	0.02	0.98	0.0
Glucocorticoid_receptor_sim_3_0731	True	0	0.89333	0.10667	0.0
Glucocorticoid_receptor_sim_3_1934	False	0	0.94	0.06	0.0
Glucocorticoid_receptor_sim_3_0891	True	1	0.1	0.9	0.0
Glucocorticoid_receptor_sim_3_1198	False	0	0.972	0.028	0.0
Glucocorticoid_receptor_sim_3_1945	False	0	0.94	0.06	0.0
Glucocorticoid_receptor_sim_3_0698	True	1	0.0	1.0	0.0
Glucocorticoid_receptor_sim_3_0166	True	1	0.13905	0.86095	0.0
Glucocorticoid_receptor_sim_3_1893	False	0	0.76333	0.23667	0.0
Glucocorticoid_receptor_sim_3_0582	True	1	0.22	0.78	0.0
Glucocorticoid_receptor_sim_3_0914	True	1	0.02	0.98	0.0
Glucocorticoid_receptor_sim_3_1036	True	1	0.07333	0.92667	0.0
Glucocorticoid_receptor_sim_3_1368	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_sim_3_0236	True	1	0.43	0.57	0.0
Glucocorticoid_receptor_sim_3_1501	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_sim_3_0288	True	1	0.05	0.95	0.0
Glucocorticoid_receptor_sim_3_0852	True	1	0.085	0.915	0.0
Glucocorticoid_receptor_sim_3_1226	False	1	0.185	0.815	0.0
Glucocorticoid_receptor_sim_3_0702	True	1	0.0	1.0	0.0
Glucocorticoid_receptor_sim_3_0665	True	1	0.0	1.0	0.0
Glucocorticoid_receptor_sim_3_0243	True	1	0.04	0.96	0.0
Glucocorticoid_receptor_sim_3_1799	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_sim_3_1601	False	0	0.93667	0.06333	0.0
Glucocorticoid_receptor_sim_3_0739	True	1	0.41	0.59	0.0
Glucocorticoid_receptor_sim_3_0153	True	1	0.292	0.708	0.0
Glucocorticoid_receptor_sim_3_0291	True	0	0.96	0.04	0.0
Glucocorticoid_receptor_sim_3_0934	True	1	0.0	1.0	0.0
Glucocorticoid_receptor_sim_3_0408	True	1	0.04	0.96	0.0
Glucocorticoid_receptor_sim_3_1914	False	0	0.76	0.24	0.0
