QSPRID	pchembl_value_Label	pchembl_value_Prediction	pchembl_value_ProbabilityClass_0	pchembl_value_ProbabilityClass_1
Glucocorticoid_receptor_sim_0_0246	True	1	0.016	0.984
Glucocorticoid_receptor_sim_0_0542	False	0	0.994	0.006
Glucocorticoid_receptor_sim_0_0484	True	0	0.91773	0.08227
Glucocorticoid_receptor_sim_0_0432	True	1	0.3145	0.6855
Glucocorticoid_receptor_sim_0_1045	False	0	0.52933	0.47067
Glucocorticoid_receptor_sim_0_0908	False	0	0.954	0.046
Glucocorticoid_receptor_sim_0_0761	False	0	0.978	0.022
Glucocorticoid_receptor_sim_0_0283	True	1	0.002	0.998
Glucocorticoid_receptor_sim_0_0571	False	0	0.98	0.02
Glucocorticoid_receptor_sim_0_0196	True	1	0.016	0.984
Glucocorticoid_receptor_sim_0_0792	False	0	0.984	0.016
Glucocorticoid_receptor_sim_0_0459	True	1	0.02717	0.97283
Glucocorticoid_receptor_sim_0_0799	False	0	0.81461	0.18539
Glucocorticoid_receptor_sim_0_1105	False	0	0.91955	0.08045
Glucocorticoid_receptor_sim_0_1294	False	0	0.95333	0.04667
Glucocorticoid_receptor_sim_0_0871	False	0	0.986	0.014
Glucocorticoid_receptor_sim_0_0493	True	1	0.453	0.547
Glucocorticoid_receptor_sim_0_0729	False	0	0.986	0.014
Glucocorticoid_receptor_sim_0_1107	False	0	0.99105	0.00895
Glucocorticoid_receptor_sim_0_0457	True	1	0.04	0.96
Glucocorticoid_receptor_sim_0_1248	False	0	0.998	0.002
Glucocorticoid_receptor_sim_0_0916	False	0	0.724	0.276
Glucocorticoid_receptor_sim_0_1203	False	0	0.85267	0.14733
Glucocorticoid_receptor_sim_0_0514	True	0	0.90933	0.09067
Glucocorticoid_receptor_sim_0_0382	True	0	0.77517	0.22483
Glucocorticoid_receptor_sim_0_1443	False	0	0.974	0.026
Glucocorticoid_receptor_sim_0_0520	True	0	0.60596	0.39404
Glucocorticoid_receptor_sim_0_0434	True	1	0.16777	0.83223
Glucocorticoid_receptor_sim_0_0031	True	1	0.12143	0.87857
Glucocorticoid_receptor_sim_0_0506	True	0	0.85267	0.14733
Glucocorticoid_receptor_sim_0_0203	True	1	0.016	0.984
Glucocorticoid_receptor_sim_0_0389	True	1	0.31319	0.68681
Glucocorticoid_receptor_sim_0_0402	True	0	0.64387	0.35613
Glucocorticoid_receptor_sim_0_1351	False	0	0.97067	0.02933
Glucocorticoid_receptor_sim_0_0299	True	1	0.0624	0.9376
Glucocorticoid_receptor_sim_0_1018	False	0	0.98	0.02
Glucocorticoid_receptor_sim_0_1053	False	0	0.986	0.014
Glucocorticoid_receptor_sim_0_0608	False	0	0.92517	0.07483
Glucocorticoid_receptor_sim_0_0102	True	1	0.18673	0.81327
Glucocorticoid_receptor_sim_0_0712	False	0	0.975	0.025
Glucocorticoid_receptor_sim_0_0187	True	1	0.0727	0.9273
Glucocorticoid_receptor_sim_0_0281	True	1	0.002	0.998
Glucocorticoid_receptor_sim_0_0407	True	0	0.53633	0.46367
Glucocorticoid_receptor_sim_0_0437	True	1	0.39104	0.60896
Glucocorticoid_receptor_sim_0_0656	False	0	0.50913	0.49087
Glucocorticoid_receptor_sim_0_0425	True	1	0.28217	0.71783
Glucocorticoid_receptor_sim_0_0149	True	1	0.04567	0.95433
Glucocorticoid_receptor_sim_0_1421	False	0	0.996	0.004
Glucocorticoid_receptor_sim_0_1209	False	1	0.4443	0.5557
Glucocorticoid_receptor_sim_0_0440	True	1	0.4471	0.5529
Glucocorticoid_receptor_sim_0_1009	False	0	0.97401	0.02599
Glucocorticoid_receptor_sim_0_1319	False	0	0.97383	0.02617
Glucocorticoid_receptor_sim_0_0221	True	1	0.001	0.999
Glucocorticoid_receptor_sim_0_0163	True	1	0.026	0.974
Glucocorticoid_receptor_sim_0_0586	False	0	0.998	0.002
Glucocorticoid_receptor_sim_0_0313	True	1	0.30867	0.69133
Glucocorticoid_receptor_sim_0_1020	False	0	0.98733	0.01267
Glucocorticoid_receptor_sim_0_0242	True	1	0.1632	0.8368
Glucocorticoid_receptor_sim_0_1285	False	0	0.7346	0.2654
Glucocorticoid_receptor_sim_0_0273	True	1	0.01	0.99
Glucocorticoid_receptor_sim_0_1327	False	0	0.97933	0.02067
Glucocorticoid_receptor_sim_0_0685	False	0	0.74883	0.25117
Glucocorticoid_receptor_sim_0_1051	False	0	0.9856	0.0144
Glucocorticoid_receptor_sim_0_0263	True	1	0.016	0.984
Glucocorticoid_receptor_sim_0_0120	True	1	0.1542	0.8458
Glucocorticoid_receptor_sim_0_1324	False	0	1.0	0.0
Glucocorticoid_receptor_sim_0_0597	False	0	0.982	0.018
Glucocorticoid_receptor_sim_0_0046	True	1	0.13077	0.86923
Glucocorticoid_receptor_sim_0_1389	False	0	0.96083	0.03917
Glucocorticoid_receptor_sim_0_0935	False	0	0.922	0.078
