name,type_cluster,scaffold,SSo,TUPOR_,TUPOR,SESY,ASER
Molpher_mean,dis,csk,1.0,-,0.8908079463139655,0.48731565717487574,0.027159604104450327
REINVENT_mean,dis,csk,0.0,-,0.680005886468996,0.4766621010607252,0.018815746757385635
DrugEx_GT_epsilon_0.1_mean,dis,csk,0.21199310364696977,-,0.8815312184960882,0.7554853420702428,0.26500967982635804
DrugEx_GT_epsilon_0.6_mean,dis,csk,0.2391342256538873,-,0.9610189100570892,1.0,0.2568425919158578
DrugEx_RNN_epsilon_0.1_mean,dis,csk,0.21143595387961012,-,0.8046385435570262,0.29200020233935425,0.6922410115291067
DrugEx_RNN_epsilon_0.6_mean,dis,csk,0.2207651797858612,-,1.0,0.3863545452423014,0.49860539112787394
GB_GA_mut_r_0.01_mean,dis,csk,0.30305806336733765,-,0.9471898997054669,0.17609593998303463,0.7057128822426604
GB_GA_mut_r_0.5_mean,dis,csk,0.2597303542428405,-,0.8926707472731665,0.13203732382857186,1.0
GB_GA_log_p_mut_r_0.01_mean,dis,csk,0.2363149005286207,-,0.33905926680226106,0.23598099566526842,0.17281252071516834
GB_GA_log_p_mut_r_0.5_mean,dis,csk,0.14458404719049855,-,0.4453537465458912,0.20412811194035657,0.17894336069293618
addcarbon_mean,dis,csk,0.34870058680521177,-,0.0,0.0,0.0
