name,type_cluster,scaffold,SSo,TUPOR_,TUPOR,SESY,ASER
Molpher_mean,sim,csk,1.0,-,0.8890877936163895,0.48341757681766223,0.03869357380754132
REINVENT_mean,sim,csk,0.0,-,0.5408434336719083,0.4156662274681199,0.0
DrugEx_GT_epsilon_0.1_mean,sim,csk,0.17508705131786428,-,0.822512889739619,0.7409773009336412,0.18332007553229449
DrugEx_GT_epsilon_0.6_mean,sim,csk,0.19662148911156985,-,1.0,1.0000000000000002,0.2908978381110978
DrugEx_RNN_epsilon_0.1_mean,sim,csk,0.2333293285210143,-,0.5651634382954067,0.288333463409558,0.8863205513262756
DrugEx_RNN_epsilon_0.6_mean,sim,csk,0.18624383246454523,-,0.9322373983603041,0.4302638404928818,0.632865469251814
GB_GA_mut_r_0.01_mean,sim,csk,0.25099801985860526,-,0.8883304396841023,0.1936647522507013,0.7605455275365766
GB_GA_mut_r_0.5_mean,sim,csk,0.21932493375521156,-,0.8803786806239746,0.1297935001675688,1.0
GB_GA_log_p_mut_r_0.01_mean,sim,csk,0.20188543434110207,-,0.22743552569708658,0.2898614764722716,0.1225411115736886
GB_GA_log_p_mut_r_0.5_mean,sim,csk,0.11241949206887114,-,0.30127360192665287,0.2339937379775137,0.3077420601879386
addcarbon_mean,sim,csk,0.2945340287053282,-,0.0,0.0,0.04174534614012132
