QSPRID	pchembl_value_Label	pchembl_value_Prediction	pchembl_value_ProbabilityClass_0	pchembl_value_ProbabilityClass_1	Fold
Glucocorticoid_receptor_dis_1_0978	True	0	0.96	0.04	0.0
Glucocorticoid_receptor_dis_1_1879	False	0	0.7135	0.2865	0.0
Glucocorticoid_receptor_dis_1_1544	False	0	0.94	0.06	0.0
Glucocorticoid_receptor_dis_1_0012	True	1	0.19	0.81	0.0
Glucocorticoid_receptor_dis_1_0916	True	1	0.14	0.86	0.0
Glucocorticoid_receptor_dis_1_0155	True	1	0.22	0.78	0.0
Glucocorticoid_receptor_dis_1_1053	False	0	0.79333	0.20667	0.0
Glucocorticoid_receptor_dis_1_1372	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_dis_1_1666	False	1	0.26333	0.73667	0.0
Glucocorticoid_receptor_dis_1_0312	True	1	0.23762	0.76238	0.0
Glucocorticoid_receptor_dis_1_0731	True	1	0.09	0.91	0.0
Glucocorticoid_receptor_dis_1_0320	True	1	0.14	0.86	0.0
Glucocorticoid_receptor_dis_1_1768	False	1	0.40367	0.59633	0.0
Glucocorticoid_receptor_dis_1_1353	False	1	0.4299	0.5701	0.0
Glucocorticoid_receptor_dis_1_1226	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_dis_1_1251	False	0	0.75333	0.24667	0.0
Glucocorticoid_receptor_dis_1_1144	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_dis_1_1720	False	0	0.9	0.1	0.0
Glucocorticoid_receptor_dis_1_0257	True	1	0.0	1.0	0.0
Glucocorticoid_receptor_dis_1_0418	True	1	0.10333	0.89667	0.0
Glucocorticoid_receptor_dis_1_1783	False	0	0.94	0.06	0.0
Glucocorticoid_receptor_dis_1_1520	False	0	0.93333	0.06667	0.0
Glucocorticoid_receptor_dis_1_0352	True	1	0.38667	0.61333	0.0
Glucocorticoid_receptor_dis_1_0967	True	1	0.09167	0.90833	0.0
Glucocorticoid_receptor_dis_1_0145	True	1	0.08167	0.91833	0.0
Glucocorticoid_receptor_dis_1_1751	False	0	0.96	0.04	0.0
Glucocorticoid_receptor_dis_1_0125	True	1	0.04	0.96	0.0
Glucocorticoid_receptor_dis_1_1403	False	1	0.2445	0.7555	0.0
Glucocorticoid_receptor_dis_1_0187	True	1	0.02	0.98	0.0
Glucocorticoid_receptor_dis_1_1701	False	0	0.76	0.24	0.0
Glucocorticoid_receptor_dis_1_0056	True	1	0.13	0.87	0.0
Glucocorticoid_receptor_dis_1_0995	True	1	0.2	0.8	0.0
Glucocorticoid_receptor_dis_1_1852	False	0	0.96	0.04	0.0
Glucocorticoid_receptor_dis_1_0948	True	1	0.06	0.94	0.0
Glucocorticoid_receptor_dis_1_0131	True	1	0.34	0.66	0.0
Glucocorticoid_receptor_dis_1_0095	True	1	0.02	0.98	0.0
Glucocorticoid_receptor_dis_1_1171	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_dis_1_1456	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_dis_1_1550	False	0	0.97	0.03	0.0
Glucocorticoid_receptor_dis_1_0045	True	0	0.68	0.32	0.0
Glucocorticoid_receptor_dis_1_1100	False	0	0.97	0.03	0.0
Glucocorticoid_receptor_dis_1_1687	False	0	0.92	0.08	0.0
