QSPRID	pchembl_value_Label	pchembl_value_Prediction	pchembl_value_ProbabilityClass_0	pchembl_value_ProbabilityClass_1	Fold
Glucocorticoid_receptor_dis_2_0907	True	1	0.41886	0.58114	0.0
Glucocorticoid_receptor_dis_2_1830	False	0	0.97	0.03	0.0
Glucocorticoid_receptor_dis_2_0053	True	0	0.592	0.408	0.0
Glucocorticoid_receptor_dis_2_0300	True	1	0.08267	0.91733	0.0
Glucocorticoid_receptor_dis_2_0759	True	1	0.004	0.996	0.0
Glucocorticoid_receptor_dis_2_0962	False	0	0.95333	0.04667	0.0
Glucocorticoid_receptor_dis_2_0673	True	1	0.028	0.972	0.0
Glucocorticoid_receptor_dis_2_1419	False	0	0.86983	0.13017	0.0
Glucocorticoid_receptor_dis_2_1406	False	0	0.95333	0.04667	0.0
Glucocorticoid_receptor_dis_2_1754	False	0	0.996	0.004	0.0
Glucocorticoid_receptor_dis_2_0205	True	1	0.36067	0.63933	0.0
Glucocorticoid_receptor_dis_2_1326	False	1	0.47706	0.52294	0.0
Glucocorticoid_receptor_dis_2_0753	True	0	0.66251	0.33749	0.0
Glucocorticoid_receptor_dis_2_0121	True	1	0.052	0.948	0.0
Glucocorticoid_receptor_dis_2_0675	True	1	0.0272	0.9728	0.0
Glucocorticoid_receptor_dis_2_0398	True	1	0.024	0.976	0.0
Glucocorticoid_receptor_dis_2_0142	True	1	0.1623	0.8377	0.0
Glucocorticoid_receptor_dis_2_0685	True	1	0.08418	0.91582	0.0
Glucocorticoid_receptor_dis_2_0630	True	1	0.1439	0.8561	0.0
Glucocorticoid_receptor_dis_2_1180	False	0	0.868	0.132	0.0
Glucocorticoid_receptor_dis_2_0967	False	0	0.996	0.004	0.0
Glucocorticoid_receptor_dis_2_0770	True	1	0.1816	0.8184	0.0
Glucocorticoid_receptor_dis_2_0000	True	1	0.38	0.62	0.0
Glucocorticoid_receptor_dis_2_1611	False	1	0.15767	0.84233	0.0
Glucocorticoid_receptor_dis_2_1404	False	0	0.618	0.382	0.0
Glucocorticoid_receptor_dis_2_1661	False	0	0.9464	0.0536	0.0
Glucocorticoid_receptor_dis_2_1838	False	0	0.53056	0.46944	0.0
Glucocorticoid_receptor_dis_2_1261	False	1	0.09053	0.90947	0.0
Glucocorticoid_receptor_dis_2_0102	True	1	0.008	0.992	0.0
Glucocorticoid_receptor_dis_2_0255	True	1	0.40267	0.59733	0.0
Glucocorticoid_receptor_dis_2_0575	True	1	0.20453	0.79547	0.0
Glucocorticoid_receptor_dis_2_0842	True	1	0.148	0.852	0.0
Glucocorticoid_receptor_dis_2_1818	False	0	0.992	0.008	0.0
Glucocorticoid_receptor_dis_2_0579	True	0	0.64	0.36	0.0
Glucocorticoid_receptor_dis_2_0640	True	1	0.09276	0.90724	0.0
Glucocorticoid_receptor_dis_2_1614	False	1	0.10552	0.89448	0.0
Glucocorticoid_receptor_dis_2_0574	True	1	0.16	0.84	0.0
Glucocorticoid_receptor_dis_2_1177	False	0	0.936	0.064	0.0
Glucocorticoid_receptor_dis_2_0448	True	1	0.22338	0.77662	0.0
Glucocorticoid_receptor_dis_2_0505	True	1	0.058	0.942	0.0
Glucocorticoid_receptor_dis_2_0306	True	1	0.072	0.928	0.0
Glucocorticoid_receptor_dis_2_0413	True	1	0.225	0.775	0.0
Glucocorticoid_receptor_dis_2_0790	True	1	0.016	0.984	0.0
Glucocorticoid_receptor_dis_2_0322	True	0	0.8824	0.1176	0.0
Glucocorticoid_receptor_dis_2_1000	False	0	0.56658	0.43342	0.0
Glucocorticoid_receptor_dis_2_1025	False	0	0.96	0.04	0.0
Glucocorticoid_receptor_dis_2_1161	False	0	0.892	0.108	0.0
Glucocorticoid_receptor_dis_2_1250	False	0	0.982	0.018	0.0
Glucocorticoid_receptor_dis_2_0434	True	1	0.16245	0.83755	0.0
Glucocorticoid_receptor_dis_2_0643	True	1	0.08505	0.91495	0.0
Glucocorticoid_receptor_dis_2_1185	False	0	0.8258	0.1742	0.0
Glucocorticoid_receptor_dis_2_0188	True	1	0.028	0.972	0.0
Glucocorticoid_receptor_dis_2_1224	False	0	0.912	0.088	0.0
Glucocorticoid_receptor_dis_2_1300	False	0	0.996	0.004	0.0
Glucocorticoid_receptor_dis_2_1515	False	0	0.74856	0.25144	0.0
Glucocorticoid_receptor_dis_2_0280	True	1	0.28453	0.71547	0.0
Glucocorticoid_receptor_dis_2_1636	False	0	0.868	0.132	0.0
Glucocorticoid_receptor_dis_2_1726	False	0	0.85987	0.14013	0.0
Glucocorticoid_receptor_dis_2_0431	True	1	0.14483	0.85517	0.0
Glucocorticoid_receptor_dis_2_0664	True	0	0.62224	0.37776	0.0
Glucocorticoid_receptor_dis_2_1794	False	0	0.893	0.107	0.0
Glucocorticoid_receptor_dis_2_0368	True	1	0.333	0.667	0.0
Glucocorticoid_receptor_dis_2_0418	True	1	0.038	0.962	0.0
Glucocorticoid_receptor_dis_2_0118	True	1	0.168	0.832	0.0
Glucocorticoid_receptor_dis_2_0410	True	1	0.056	0.944	0.0
Glucocorticoid_receptor_dis_2_1297	False	0	0.952	0.048	0.0
Glucocorticoid_receptor_dis_2_0610	True	0	0.6288	0.3712	0.0
Glucocorticoid_receptor_dis_2_0003	True	1	0.338	0.662	0.0
Glucocorticoid_receptor_dis_2_0149	True	1	0.07213	0.92787	0.0
Glucocorticoid_receptor_dis_2_0429	True	1	0.01733	0.98267	0.0
Glucocorticoid_receptor_dis_2_1545	False	0	0.85	0.15	0.0
Glucocorticoid_receptor_dis_2_0383	True	1	0.028	0.972	0.0
Glucocorticoid_receptor_dis_2_1169	False	1	0.16993	0.83007	0.0
Glucocorticoid_receptor_dis_2_1644	False	0	0.786	0.214	0.0
Glucocorticoid_receptor_dis_2_1384	False	0	0.83813	0.16187	0.0
Glucocorticoid_receptor_dis_2_0246	True	0	0.91787	0.08213	0.0
Glucocorticoid_receptor_dis_2_0858	True	1	0.02658	0.97342	0.0
Glucocorticoid_receptor_dis_2_1364	False	0	0.976	0.024	0.0
Glucocorticoid_receptor_dis_2_1572	False	0	0.968	0.032	0.0
Glucocorticoid_receptor_dis_2_0333	True	1	0.0856	0.9144	0.0
Glucocorticoid_receptor_dis_2_1717	False	0	0.98967	0.01033	0.0
Glucocorticoid_receptor_dis_2_1673	False	0	0.54799	0.45201	0.0
Glucocorticoid_receptor_dis_2_1684	False	0	0.7	0.3	0.0
Glucocorticoid_receptor_dis_2_0760	True	1	0.0304	0.9696	0.0
Glucocorticoid_receptor_dis_2_1713	False	0	0.88	0.12	0.0
Glucocorticoid_receptor_dis_2_0081	True	1	0.4472	0.5528	0.0
Glucocorticoid_receptor_dis_2_1272	False	0	0.99467	0.00533	0.0
Glucocorticoid_receptor_dis_2_0119	True	1	0.219	0.781	0.0
Glucocorticoid_receptor_dis_2_1577	False	0	0.976	0.024	0.0
Glucocorticoid_receptor_dis_2_0973	False	0	0.8	0.2	0.0
Glucocorticoid_receptor_dis_2_1532	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_dis_2_1546	False	0	0.988	0.012	0.0
Glucocorticoid_receptor_dis_2_1802	False	0	0.731	0.269	0.0
Glucocorticoid_receptor_dis_2_1630	False	0	0.951	0.049	0.0
Glucocorticoid_receptor_dis_2_0195	True	1	0.10513	0.89487	0.0
Glucocorticoid_receptor_dis_2_1311	False	0	0.908	0.092	0.0
Glucocorticoid_receptor_dis_2_0275	True	1	0.0136	0.9864	0.0
Glucocorticoid_receptor_dis_2_1417	False	0	0.976	0.024	0.0
Glucocorticoid_receptor_dis_2_1430	False	0	0.936	0.064	0.0
Glucocorticoid_receptor_dis_2_0568	True	1	0.012	0.988	0.0
Glucocorticoid_receptor_dis_2_1240	False	1	0.08267	0.91733	0.0
Glucocorticoid_receptor_dis_2_0489	True	1	0.004	0.996	0.0
Glucocorticoid_receptor_dis_2_0105	True	1	0.00867	0.99133	0.0
Glucocorticoid_receptor_dis_2_0230	True	0	0.95153	0.04847	0.0
Glucocorticoid_receptor_dis_2_1691	False	0	0.88	0.12	0.0
Glucocorticoid_receptor_dis_2_0744	True	1	0.0944	0.9056	0.0
Glucocorticoid_receptor_dis_2_0898	True	0	0.52153	0.47847	0.0
Glucocorticoid_receptor_dis_2_1539	False	0	0.984	0.016	0.0
Glucocorticoid_receptor_dis_2_0163	True	1	0.008	0.992	0.0
Glucocorticoid_receptor_dis_2_1379	False	0	0.79733	0.20267	0.0
Glucocorticoid_receptor_dis_2_0058	True	0	0.655	0.345	0.0
Glucocorticoid_receptor_dis_2_0495	True	1	0.012	0.988	0.0
Glucocorticoid_receptor_dis_2_1638	False	0	0.90667	0.09333	0.0
Glucocorticoid_receptor_dis_2_1690	False	0	0.624	0.376	0.0
Glucocorticoid_receptor_dis_2_0080	True	1	0.1372	0.8628	0.0
Glucocorticoid_receptor_dis_2_0923	True	1	0.108	0.892	0.0
Glucocorticoid_receptor_dis_2_0370	True	1	0.287	0.713	0.0
Glucocorticoid_receptor_dis_2_0976	False	0	0.926	0.074	0.0
Glucocorticoid_receptor_dis_2_1024	False	0	0.916	0.084	0.0
Glucocorticoid_receptor_dis_2_0397	True	1	0.27667	0.72333	0.0
Glucocorticoid_receptor_dis_2_0318	True	1	0.015	0.985	0.0
Glucocorticoid_receptor_dis_2_1562	False	0	0.836	0.164	0.0
Glucocorticoid_receptor_dis_2_0961	False	0	0.988	0.012	0.0
Glucocorticoid_receptor_dis_2_0548	True	1	0.0	1.0	0.0
Glucocorticoid_receptor_dis_2_1470	False	0	0.96373	0.03627	0.0
Glucocorticoid_receptor_dis_2_0204	True	1	0.43824	0.56176	0.0
Glucocorticoid_receptor_dis_2_1018	False	0	0.8362	0.1638	0.0
Glucocorticoid_receptor_dis_2_1730	False	0	0.98367	0.01633	0.0
Glucocorticoid_receptor_dis_2_0729	True	1	0.144	0.856	0.0
Glucocorticoid_receptor_dis_2_1087	False	0	0.75477	0.24523	0.0
Glucocorticoid_receptor_dis_2_1854	False	0	0.884	0.116	0.0
Glucocorticoid_receptor_dis_2_0032	True	1	0.38933	0.61067	0.0
Glucocorticoid_receptor_dis_2_0028	True	0	0.648	0.352	0.0
Glucocorticoid_receptor_dis_2_1021	False	0	0.58773	0.41227	0.0
Glucocorticoid_receptor_dis_2_1788	False	0	0.9588	0.0412	0.0
