QSPRID	pchembl_value_Label	pchembl_value_Prediction	pchembl_value_ProbabilityClass_0	pchembl_value_ProbabilityClass_1
Glucocorticoid_receptor_dis_2_0612	True	0	0.67419	0.32581
Glucocorticoid_receptor_dis_2_1816	False	0	0.7	0.3
Glucocorticoid_receptor_dis_2_1008	False	0	0.96	0.04
Glucocorticoid_receptor_dis_2_1657	False	0	0.978	0.022
Glucocorticoid_receptor_dis_2_1651	False	0	0.992	0.008
Glucocorticoid_receptor_dis_2_0145	True	1	0.1574	0.8426
Glucocorticoid_receptor_dis_2_1301	False	0	0.988	0.012
Glucocorticoid_receptor_dis_2_0288	True	1	0.028	0.972
Glucocorticoid_receptor_dis_2_1474	False	0	0.86562	0.13438
Glucocorticoid_receptor_dis_2_0696	True	0	0.64794	0.35206
Glucocorticoid_receptor_dis_2_0238	True	1	0.46133	0.53867
Glucocorticoid_receptor_dis_2_0335	True	1	0.15587	0.84413
Glucocorticoid_receptor_dis_2_0151	True	1	0.36477	0.63523
Glucocorticoid_receptor_dis_2_0724	True	1	0.1332	0.8668
Glucocorticoid_receptor_dis_2_1282	False	0	0.91667	0.08333
Glucocorticoid_receptor_dis_2_0747	True	1	0.19637	0.80363
Glucocorticoid_receptor_dis_2_0601	True	1	0.2024	0.7976
Glucocorticoid_receptor_dis_2_1440	False	0	0.98	0.02
Glucocorticoid_receptor_dis_2_0809	True	1	0.29119	0.70881
Glucocorticoid_receptor_dis_2_0974	False	0	0.96	0.04
Glucocorticoid_receptor_dis_2_1620	False	0	0.972	0.028
Glucocorticoid_receptor_dis_2_1046	False	0	0.5119	0.4881
Glucocorticoid_receptor_dis_2_0496	True	1	0.004	0.996
Glucocorticoid_receptor_dis_2_0855	True	1	0.217	0.783
Glucocorticoid_receptor_dis_2_0605	True	1	0.064	0.936
Glucocorticoid_receptor_dis_2_0312	True	1	0.06933	0.93067
Glucocorticoid_receptor_dis_2_0838	True	0	0.5126	0.4874
Glucocorticoid_receptor_dis_2_1763	False	0	1.0	0.0
Glucocorticoid_receptor_dis_2_1603	False	0	0.8474	0.1526
Glucocorticoid_receptor_dis_2_0518	True	1	0.07051	0.92949
Glucocorticoid_receptor_dis_2_1335	False	1	0.13152	0.86848
Glucocorticoid_receptor_dis_2_1443	False	1	0.48882	0.51118
