QSPRID	pchembl_value_Label	pchembl_value_Prediction	pchembl_value_ProbabilityClass_0	pchembl_value_ProbabilityClass_1	Fold
Glucocorticoid_receptor_dis_4_1089	False	0	0.9	0.1	0.0
Glucocorticoid_receptor_dis_4_1420	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_dis_4_0273	True	1	0.1	0.9	0.0
Glucocorticoid_receptor_dis_4_0195	True	1	0.08867	0.91133	0.0
Glucocorticoid_receptor_dis_4_1381	False	0	0.69333	0.30667	0.0
Glucocorticoid_receptor_dis_4_0744	True	1	0.02	0.98	0.0
Glucocorticoid_receptor_dis_4_0699	True	1	0.02	0.98	0.0
Glucocorticoid_receptor_dis_4_0893	False	0	0.53929	0.46071	0.0
Glucocorticoid_receptor_dis_4_0770	True	0	0.59729	0.40271	0.0
Glucocorticoid_receptor_dis_4_0352	True	1	0.02	0.98	0.0
Glucocorticoid_receptor_dis_4_0068	True	1	0.41857	0.58143	0.0
Glucocorticoid_receptor_dis_4_1406	False	0	0.96	0.04	0.0
Glucocorticoid_receptor_dis_4_0258	True	1	0.26	0.74	0.0
Glucocorticoid_receptor_dis_4_1630	False	0	0.812	0.188	0.0
Glucocorticoid_receptor_dis_4_0939	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_dis_4_1131	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_dis_4_0282	True	1	0.48	0.52	0.0
Glucocorticoid_receptor_dis_4_0924	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_dis_4_1409	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_dis_4_1293	False	0	0.711	0.289	0.0
Glucocorticoid_receptor_dis_4_1107	False	0	0.94	0.06	0.0
Glucocorticoid_receptor_dis_4_1060	False	1	0.35157	0.64843	0.0
Glucocorticoid_receptor_dis_4_1140	False	0	0.94	0.06	0.0
Glucocorticoid_receptor_dis_4_1175	False	0	0.812	0.188	0.0
Glucocorticoid_receptor_dis_4_1510	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_dis_4_0212	True	1	0.43033	0.56967	0.0
Glucocorticoid_receptor_dis_4_0828	False	0	0.84	0.16	0.0
Glucocorticoid_receptor_dis_4_1142	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_dis_4_1485	False	0	0.95333	0.04667	0.0
Glucocorticoid_receptor_dis_4_0134	True	1	0.02	0.98	0.0
Glucocorticoid_receptor_dis_4_1638	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_dis_4_0411	True	0	0.54	0.46	0.0
