QSPRID	pchembl_value_Label	pchembl_value_Prediction	pchembl_value_ProbabilityClass_0	pchembl_value_ProbabilityClass_1
Glucocorticoid_receptor_dis_4_1306	False	0	0.9	0.1
Glucocorticoid_receptor_dis_4_0897	False	0	0.52067	0.47933
Glucocorticoid_receptor_dis_4_1502	False	0	0.8	0.2
Glucocorticoid_receptor_dis_4_1566	False	1	0.4165	0.5835
Glucocorticoid_receptor_dis_4_1665	False	0	0.94	0.06
Glucocorticoid_receptor_dis_4_0639	True	0	0.87971	0.12029
Glucocorticoid_receptor_dis_4_1576	False	0	0.9	0.1
Glucocorticoid_receptor_dis_4_0866	False	0	0.95167	0.04833
Glucocorticoid_receptor_dis_4_0336	True	1	0.0	1.0
Glucocorticoid_receptor_dis_4_1063	False	1	0.425	0.575
Glucocorticoid_receptor_dis_4_0791	True	0	0.65	0.35
Glucocorticoid_receptor_dis_4_1637	False	0	0.94	0.06
Glucocorticoid_receptor_dis_4_1209	False	0	0.89333	0.10667
Glucocorticoid_receptor_dis_4_0809	False	0	0.96	0.04
Glucocorticoid_receptor_dis_4_1019	False	0	0.9	0.1
Glucocorticoid_receptor_dis_4_0842	False	0	1.0	0.0
Glucocorticoid_receptor_dis_4_0226	True	0	0.762	0.238
Glucocorticoid_receptor_dis_4_1017	False	0	0.86	0.14
Glucocorticoid_receptor_dis_4_0634	True	1	0.12333	0.87667
Glucocorticoid_receptor_dis_4_1400	False	0	0.84	0.16
Glucocorticoid_receptor_dis_4_1541	False	0	0.7	0.3
Glucocorticoid_receptor_dis_4_0873	False	0	0.98	0.02
Glucocorticoid_receptor_dis_4_0759	True	1	0.04	0.96
Glucocorticoid_receptor_dis_4_0950	False	0	1.0	0.0
Glucocorticoid_receptor_dis_4_0920	False	0	1.0	0.0
Glucocorticoid_receptor_dis_4_1661	False	0	0.96	0.04
Glucocorticoid_receptor_dis_4_1122	False	1	0.424	0.576
Glucocorticoid_receptor_dis_4_0468	True	1	0.0	1.0
Glucocorticoid_receptor_dis_4_1132	False	0	0.92	0.08
Glucocorticoid_receptor_dis_4_0929	False	0	0.78	0.22
Glucocorticoid_receptor_dis_4_1571	False	0	0.92	0.08
Glucocorticoid_receptor_dis_4_0081	True	1	0.02667	0.97333
Glucocorticoid_receptor_dis_4_1098	False	0	0.98	0.02
Glucocorticoid_receptor_dis_4_0194	True	1	0.096	0.904
Glucocorticoid_receptor_dis_4_0309	True	1	0.45167	0.54833
Glucocorticoid_receptor_dis_4_0090	True	1	0.074	0.926
Glucocorticoid_receptor_dis_4_0049	True	1	0.26	0.74
Glucocorticoid_receptor_dis_4_0102	True	1	0.0	1.0
Glucocorticoid_receptor_dis_4_0122	True	1	0.174	0.826
Glucocorticoid_receptor_dis_4_0663	True	1	0.0	1.0
Glucocorticoid_receptor_dis_4_1673	False	0	0.805	0.195
Glucocorticoid_receptor_dis_4_1146	False	0	0.966	0.034
Glucocorticoid_receptor_dis_4_1212	False	0	0.805	0.195
Glucocorticoid_receptor_dis_4_1258	False	0	0.98	0.02
Glucocorticoid_receptor_dis_4_0043	True	1	0.16	0.84
Glucocorticoid_receptor_dis_4_0256	True	0	0.6	0.4
Glucocorticoid_receptor_dis_4_0417	True	1	0.48976	0.51024
Glucocorticoid_receptor_dis_4_0905	False	0	0.70786	0.29214
Glucocorticoid_receptor_dis_4_1574	False	0	0.966	0.034
Glucocorticoid_receptor_dis_4_0865	False	0	1.0	0.0
Glucocorticoid_receptor_dis_4_0460	True	1	0.08	0.92
Glucocorticoid_receptor_dis_4_1031	False	0	0.97143	0.02857
Glucocorticoid_receptor_dis_4_0595	True	1	0.04	0.96
Glucocorticoid_receptor_dis_4_0443	True	1	0.04	0.96
Glucocorticoid_receptor_dis_4_1380	False	0	1.0	0.0
Glucocorticoid_receptor_dis_4_0572	True	1	0.0	1.0
Glucocorticoid_receptor_dis_4_1171	False	0	0.97667	0.02333
Glucocorticoid_receptor_dis_4_1002	False	0	0.94	0.06
Glucocorticoid_receptor_dis_4_1708	False	0	0.88667	0.11333
Glucocorticoid_receptor_dis_4_0559	True	0	0.53333	0.46667
Glucocorticoid_receptor_dis_4_0680	True	1	0.04	0.96
Glucocorticoid_receptor_dis_4_0888	False	0	0.68	0.32
Glucocorticoid_receptor_dis_4_0304	True	1	0.06667	0.93333
Glucocorticoid_receptor_dis_4_1282	False	0	0.98	0.02
Glucocorticoid_receptor_dis_4_1423	False	0	0.98	0.02
Glucocorticoid_receptor_dis_4_0389	True	1	0.23833	0.76167
Glucocorticoid_receptor_dis_4_1449	False	0	1.0	0.0
Glucocorticoid_receptor_dis_4_0237	True	0	0.87333	0.12667
Glucocorticoid_receptor_dis_4_1253	False	0	1.0	0.0
Glucocorticoid_receptor_dis_4_0677	True	1	0.02	0.98
Glucocorticoid_receptor_dis_4_0736	True	1	0.0	1.0
Glucocorticoid_receptor_dis_4_0435	True	1	0.0	1.0
Glucocorticoid_receptor_dis_4_0299	True	0	0.7	0.3
Glucocorticoid_receptor_dis_4_1483	False	1	0.261	0.739
Glucocorticoid_receptor_dis_4_1160	False	0	0.92	0.08
Glucocorticoid_receptor_dis_4_1227	False	0	0.96	0.04
Glucocorticoid_receptor_dis_4_0287	True	0	0.9	0.1
Glucocorticoid_receptor_dis_4_0418	True	1	0.14	0.86
Glucocorticoid_receptor_dis_4_0145	True	1	0.04667	0.95333
Glucocorticoid_receptor_dis_4_1702	False	0	0.96	0.04
Glucocorticoid_receptor_dis_4_0087	True	1	0.2	0.8
Glucocorticoid_receptor_dis_4_0182	True	1	0.27633	0.72367
Glucocorticoid_receptor_dis_4_1625	False	0	0.92	0.08
Glucocorticoid_receptor_dis_4_0526	True	1	0.34	0.66
Glucocorticoid_receptor_dis_4_1679	False	0	0.98	0.02
Glucocorticoid_receptor_dis_4_1179	False	0	0.98	0.02
Glucocorticoid_receptor_dis_4_0811	False	0	0.54	0.46
Glucocorticoid_receptor_dis_4_0092	True	1	0.212	0.788
Glucocorticoid_receptor_dis_4_1498	False	0	0.91	0.09
Glucocorticoid_receptor_dis_4_1324	False	0	0.74	0.26
Glucocorticoid_receptor_dis_4_0283	True	0	0.50667	0.49333
Glucocorticoid_receptor_dis_4_1075	False	0	0.98	0.02
Glucocorticoid_receptor_dis_4_1580	False	0	0.53933	0.46067
Glucocorticoid_receptor_dis_4_0327	True	1	0.16	0.84
Glucocorticoid_receptor_dis_4_0849	False	0	0.52843	0.47157
Glucocorticoid_receptor_dis_4_0993	False	0	0.98	0.02
Glucocorticoid_receptor_dis_4_0753	True	1	0.0	1.0
Glucocorticoid_receptor_dis_4_0104	True	1	0.04667	0.95333
Glucocorticoid_receptor_dis_4_1274	False	0	1.0	0.0
Glucocorticoid_receptor_dis_4_0170	True	1	0.0	1.0
Glucocorticoid_receptor_dis_4_1313	False	0	0.92	0.08
Glucocorticoid_receptor_dis_4_1445	False	0	1.0	0.0
Glucocorticoid_receptor_dis_4_0158	True	1	0.01333	0.98667
Glucocorticoid_receptor_dis_4_0671	True	1	0.0	1.0
Glucocorticoid_receptor_dis_4_0503	True	1	0.02	0.98
Glucocorticoid_receptor_dis_4_0616	True	1	0.18	0.82
Glucocorticoid_receptor_dis_4_1012	False	0	0.94	0.06
Glucocorticoid_receptor_dis_4_1369	False	1	0.04	0.96
Glucocorticoid_receptor_dis_4_1552	False	0	0.98	0.02
Glucocorticoid_receptor_dis_4_0719	True	1	0.4	0.6
Glucocorticoid_receptor_dis_4_0945	False	0	0.92667	0.07333
Glucocorticoid_receptor_dis_4_0248	True	1	0.43333	0.56667
Glucocorticoid_receptor_dis_4_0760	True	1	0.04	0.96
Glucocorticoid_receptor_dis_4_0026	True	1	0.249	0.751
Glucocorticoid_receptor_dis_4_1008	False	0	0.98	0.02
Glucocorticoid_receptor_dis_4_0673	True	0	0.63067	0.36933
Glucocorticoid_receptor_dis_4_0891	False	0	0.98	0.02
Glucocorticoid_receptor_dis_4_0776	True	1	0.35533	0.64467
Glucocorticoid_receptor_dis_4_0908	False	0	0.762	0.238
Glucocorticoid_receptor_dis_4_0224	True	0	0.86	0.14
Glucocorticoid_receptor_dis_4_0476	True	1	0.02	0.98
Glucocorticoid_receptor_dis_4_0337	True	1	0.1	0.9
Glucocorticoid_receptor_dis_4_1350	False	0	0.98	0.02
Glucocorticoid_receptor_dis_4_0721	True	1	0.04	0.96
Glucocorticoid_receptor_dis_4_1233	False	1	0.48357	0.51643
Glucocorticoid_receptor_dis_4_0444	True	1	0.02	0.98
Glucocorticoid_receptor_dis_4_0383	True	1	0.0	1.0
Glucocorticoid_receptor_dis_4_0698	True	1	0.0	1.0
Glucocorticoid_receptor_dis_4_0209	True	1	0.36881	0.63119
Glucocorticoid_receptor_dis_4_1235	False	0	0.87971	0.12029
Glucocorticoid_receptor_dis_4_1333	False	0	0.94	0.06
Glucocorticoid_receptor_dis_4_1341	False	0	0.94	0.06
Glucocorticoid_receptor_dis_4_0604	True	1	0.16	0.84
Glucocorticoid_receptor_dis_4_1234	False	1	0.38067	0.61933
Glucocorticoid_receptor_dis_4_0281	True	1	0.44667	0.55333
Glucocorticoid_receptor_dis_4_0042	True	1	0.18	0.82
Glucocorticoid_receptor_dis_4_1450	False	0	1.0	0.0
Glucocorticoid_receptor_dis_4_0720	True	1	0.36	0.64
Glucocorticoid_receptor_dis_4_1662	False	0	0.805	0.195
Glucocorticoid_receptor_dis_4_0133	True	1	0.05	0.95
