name,type_cluster,scaffold,SSo,TUPOR_,TUPOR,SESY,ASER
Molpher_mean,sim,csk,0.11992720792232614,-,0.7329133979013551,0.41259845365516723,0.34523383377903183
REINVENT_mean,sim,csk,0.0,-,0.5715073514504212,0.46083840214603533,0.11486913309890295
DrugEx_GT_epsilon_0.1_mean,sim,csk,0.08362264345872106,-,0.6046167831147029,0.5495895868025251,0.3805405234676045
DrugEx_GT_epsilon_0.6_mean,sim,csk,0.5142312601294412,-,0.9836040869980001,1.0,0.568534038028258
DrugEx_RNN_epsilon_0.1_mean,sim,csk,0.1800194140904967,-,0.3521401888382401,0.3265649513019174,0.717088500979133
DrugEx_RNN_epsilon_0.6_mean,sim,csk,0.41840808762599213,-,0.9190692414252739,0.33067176046647356,1.0
GB_GA_mut_r_0.01_mean,sim,csk,0.8416987544418877,-,0.9605683873255584,0.1824280639098751,0.834052767892864
GB_GA_mut_r_0.5_mean,sim,csk,0.7467042321425881,-,1.0000000000000002,0.1491181336774415,0.9600397970141712
GB_GA_log_p_mut_r_0.01_mean,sim,csk,0.999847183988325,-,0.5243511680560071,0.5289447722514631,0.0
GB_GA_log_p_mut_r_0.5_mean,sim,csk,0.9997126628512882,-,0.5175015611188154,0.380546802632213,0.17213787875597486
addcarbon_mean,sim,csk,1.0,-,0.0,0.0,0.4088406224337243
