QSPRID	pchembl_value_Label	pchembl_value_Prediction	pchembl_value_ProbabilityClass_0	pchembl_value_ProbabilityClass_1
Glucocorticoid_receptor_dis_3_0855	True	0	0.91106	0.08894
Glucocorticoid_receptor_dis_3_1146	False	0	0.96851	0.03149
Glucocorticoid_receptor_dis_3_1614	False	0	0.962	0.038
Glucocorticoid_receptor_dis_3_0542	True	1	0.10757	0.89243
Glucocorticoid_receptor_dis_3_0876	True	1	0.3307	0.6693
Glucocorticoid_receptor_dis_3_0670	True	1	0.15438	0.84562
Glucocorticoid_receptor_dis_3_1250	False	0	0.99475	0.00525
Glucocorticoid_receptor_dis_3_0634	True	1	0.08188	0.91812
Glucocorticoid_receptor_dis_3_0738	True	1	0.01583	0.98417
Glucocorticoid_receptor_dis_3_1553	False	0	0.5107	0.4893
Glucocorticoid_receptor_dis_3_1707	False	0	0.70726	0.29274
Glucocorticoid_receptor_dis_3_1012	False	0	0.95871	0.04129
Glucocorticoid_receptor_dis_3_0927	False	0	0.83623	0.16377
Glucocorticoid_receptor_dis_3_1785	False	0	0.82909	0.17091
Glucocorticoid_receptor_dis_3_0223	True	0	0.91318	0.08682
Glucocorticoid_receptor_dis_3_0416	True	1	0.0875	0.9125
Glucocorticoid_receptor_dis_3_0583	True	1	0.00867	0.99133
Glucocorticoid_receptor_dis_3_0514	True	1	0.30624	0.69376
Glucocorticoid_receptor_dis_3_1293	False	0	0.93719	0.06281
Glucocorticoid_receptor_dis_3_1791	False	0	0.88805	0.11195
Glucocorticoid_receptor_dis_3_0585	True	1	0.04232	0.95768
Glucocorticoid_receptor_dis_3_0808	True	1	0.0207	0.9793
Glucocorticoid_receptor_dis_3_0299	True	0	0.9025	0.0975
Glucocorticoid_receptor_dis_3_1269	False	1	0.47916	0.52084
Glucocorticoid_receptor_dis_3_1138	False	0	0.97092	0.02908
Glucocorticoid_receptor_dis_3_1340	False	0	0.90977	0.09023
Glucocorticoid_receptor_dis_3_1590	False	0	0.90725	0.09275
Glucocorticoid_receptor_dis_3_0110	True	1	0.14975	0.85025
Glucocorticoid_receptor_dis_3_1371	False	0	0.83623	0.16377
Glucocorticoid_receptor_dis_3_0728	True	1	0.00813	0.99187
Glucocorticoid_receptor_dis_3_1003	False	1	0.47992	0.52008
Glucocorticoid_receptor_dis_3_1468	False	0	0.95871	0.04129
Glucocorticoid_receptor_dis_3_0414	True	0	0.54233	0.45767
Glucocorticoid_receptor_dis_3_0489	True	1	0.007	0.993
Glucocorticoid_receptor_dis_3_1056	False	0	0.991	0.009
Glucocorticoid_receptor_dis_3_1511	False	0	0.9886	0.0114
Glucocorticoid_receptor_dis_3_0011	True	1	0.17492	0.82508
Glucocorticoid_receptor_dis_3_0979	False	0	0.99367	0.00633
Glucocorticoid_receptor_dis_3_1354	False	0	0.83623	0.16377
Glucocorticoid_receptor_dis_3_0081	True	1	0.3531	0.6469
Glucocorticoid_receptor_dis_3_0564	True	1	0.03748	0.96252
Glucocorticoid_receptor_dis_3_1463	False	0	0.988	0.012
Glucocorticoid_receptor_dis_3_1068	False	0	0.973	0.027
