QSPRID	pchembl_value_Label	pchembl_value_Prediction	pchembl_value_ProbabilityClass_0	pchembl_value_ProbabilityClass_1	Fold
Glucocorticoid_receptor_sim_2_1583	False	0	0.71844	0.28156	0.0
Glucocorticoid_receptor_sim_2_1887	False	0	0.85571	0.14429	0.0
Glucocorticoid_receptor_sim_2_0979	True	1	0.06267	0.93733	0.0
Glucocorticoid_receptor_sim_2_1006	True	1	0.06688	0.93312	0.0
Glucocorticoid_receptor_sim_2_0745	True	1	0.0448	0.9552	0.0
Glucocorticoid_receptor_sim_2_1770	False	1	0.00725	0.99275	0.0
Glucocorticoid_receptor_sim_2_0845	True	1	0.15922	0.84078	0.0
Glucocorticoid_receptor_sim_2_1342	False	0	0.70063	0.29937	0.0
Glucocorticoid_receptor_sim_2_0366	True	1	0.1832	0.8168	0.0
Glucocorticoid_receptor_sim_2_0351	True	1	0.18683	0.81317	0.0
Glucocorticoid_receptor_sim_2_0519	True	1	0.0168	0.9832	0.0
Glucocorticoid_receptor_sim_2_0632	True	1	0.02467	0.97533	0.0
Glucocorticoid_receptor_sim_2_0768	True	0	0.83462	0.16538	0.0
Glucocorticoid_receptor_sim_2_1224	False	0	0.91571	0.08429	0.0
Glucocorticoid_receptor_sim_2_1632	False	0	0.84259	0.15741	0.0
Glucocorticoid_receptor_sim_2_0394	True	1	0.15795	0.84205	0.0
Glucocorticoid_receptor_sim_2_0786	True	1	0.02995	0.97005	0.0
Glucocorticoid_receptor_sim_2_0772	True	1	0.0352	0.9648	0.0
Glucocorticoid_receptor_sim_2_1272	False	0	0.92816	0.07184	0.0
Glucocorticoid_receptor_sim_2_0806	True	1	0.07467	0.92533	0.0
Glucocorticoid_receptor_sim_2_0119	True	1	0.25781	0.74219	0.0
Glucocorticoid_receptor_sim_2_0668	True	0	0.9103	0.0897	0.0
Glucocorticoid_receptor_sim_2_0592	True	1	0.017	0.983	0.0
Glucocorticoid_receptor_sim_2_0403	True	1	0.07467	0.92533	0.0
Glucocorticoid_receptor_sim_2_0456	True	1	0.38144	0.61856	0.0
Glucocorticoid_receptor_sim_2_0435	True	1	0.35038	0.64962	0.0
Glucocorticoid_receptor_sim_2_1465	False	0	0.88175	0.11825	0.0
Glucocorticoid_receptor_sim_2_0655	True	1	0.03367	0.96633	0.0
