QSPRID	pchembl_value_Label	pchembl_value_Prediction	pchembl_value_ProbabilityClass_0	pchembl_value_ProbabilityClass_1
Glucocorticoid_receptor_sim_4_1762	False	0	0.82	0.18
Glucocorticoid_receptor_sim_4_1160	False	0	0.992	0.008
Glucocorticoid_receptor_sim_4_1123	False	0	0.94	0.06
Glucocorticoid_receptor_sim_4_0359	True	1	0.06	0.94
Glucocorticoid_receptor_sim_4_1258	False	0	0.50736	0.49264
Glucocorticoid_receptor_sim_4_1923	False	0	1.0	0.0
Glucocorticoid_receptor_sim_4_0024	True	1	0.06	0.94
Glucocorticoid_receptor_sim_4_1617	False	0	0.54	0.46
Glucocorticoid_receptor_sim_4_0524	True	1	0.32333	0.67667
Glucocorticoid_receptor_sim_4_0844	True	1	0.0	1.0
Glucocorticoid_receptor_sim_4_0934	True	1	0.08	0.92
Glucocorticoid_receptor_sim_4_0084	True	1	0.36081	0.63919
Glucocorticoid_receptor_sim_4_0532	True	0	0.9	0.1
Glucocorticoid_receptor_sim_4_0889	True	1	0.0	1.0
Glucocorticoid_receptor_sim_4_0500	True	1	0.12	0.88
Glucocorticoid_receptor_sim_4_0056	True	1	0.14	0.86
Glucocorticoid_receptor_sim_4_0902	True	1	0.12133	0.87867
Glucocorticoid_receptor_sim_4_1788	False	0	0.66	0.34
Glucocorticoid_receptor_sim_4_0512	True	1	0.05	0.95
Glucocorticoid_receptor_sim_4_1560	False	0	0.91	0.09
Glucocorticoid_receptor_sim_4_0010	True	1	0.03333	0.96667
Glucocorticoid_receptor_sim_4_0190	True	0	0.96667	0.03333
Glucocorticoid_receptor_sim_4_0283	True	1	0.24	0.76
Glucocorticoid_receptor_sim_4_0337	True	1	0.08	0.92
Glucocorticoid_receptor_sim_4_0229	True	0	0.58667	0.41333
Glucocorticoid_receptor_sim_4_1253	False	1	0.04333	0.95667
Glucocorticoid_receptor_sim_4_0124	True	1	0.065	0.935
Glucocorticoid_receptor_sim_4_1296	False	0	0.94	0.06
Glucocorticoid_receptor_sim_4_1531	False	0	1.0	0.0
Glucocorticoid_receptor_sim_4_0901	True	1	0.35888	0.64112
Glucocorticoid_receptor_sim_4_0655	True	1	0.0	1.0
Glucocorticoid_receptor_sim_4_1118	False	0	1.0	0.0
Glucocorticoid_receptor_sim_4_0832	True	1	0.30767	0.69233
Glucocorticoid_receptor_sim_4_0804	True	0	0.60688	0.39312
Glucocorticoid_receptor_sim_4_1913	False	0	1.0	0.0
Glucocorticoid_receptor_sim_4_1299	False	0	0.98	0.02
Glucocorticoid_receptor_sim_4_0842	True	1	0.49833	0.50167
Glucocorticoid_receptor_sim_4_1294	False	0	0.92	0.08
Glucocorticoid_receptor_sim_4_0274	True	1	0.15133	0.84867
