QSPRID	pchembl_value_Label	pchembl_value_Prediction	pchembl_value_ProbabilityClass_0	pchembl_value_ProbabilityClass_1
Glucocorticoid_receptor_dis_0_1081	False	0	0.7	0.3
Glucocorticoid_receptor_dis_0_0170	True	1	0.14	0.86
Glucocorticoid_receptor_dis_0_0043	True	0	0.87	0.13
Glucocorticoid_receptor_dis_0_0539	True	1	0.0	1.0
Glucocorticoid_receptor_dis_0_0734	True	1	0.13807	0.86193
Glucocorticoid_receptor_dis_0_0864	True	1	0.34	0.66
Glucocorticoid_receptor_dis_0_0145	True	1	0.12	0.88
Glucocorticoid_receptor_dis_0_0104	True	1	0.09333	0.90667
Glucocorticoid_receptor_dis_0_0617	True	1	0.38	0.62
Glucocorticoid_receptor_dis_0_0658	True	1	0.21333	0.78667
Glucocorticoid_receptor_dis_0_1295	False	0	0.74721	0.25279
Glucocorticoid_receptor_dis_0_1228	False	0	1.0	0.0
Glucocorticoid_receptor_dis_0_0663	True	1	0.14133	0.85867
Glucocorticoid_receptor_dis_0_1332	False	0	0.82	0.18
Glucocorticoid_receptor_dis_0_0632	True	1	0.052	0.948
Glucocorticoid_receptor_dis_0_0154	True	1	0.0	1.0
Glucocorticoid_receptor_dis_0_1561	False	1	0.08933	0.91067
Glucocorticoid_receptor_dis_0_0644	True	1	0.44124	0.55876
Glucocorticoid_receptor_dis_0_0177	True	1	0.485	0.515
Glucocorticoid_receptor_dis_0_0197	True	0	0.935	0.065
Glucocorticoid_receptor_dis_0_0825	True	1	0.38	0.62
Glucocorticoid_receptor_dis_0_0160	True	1	0.13	0.87
Glucocorticoid_receptor_dis_0_0247	True	1	0.02	0.98
Glucocorticoid_receptor_dis_0_0321	True	1	0.06	0.94
Glucocorticoid_receptor_dis_0_1104	False	0	0.52167	0.47833
Glucocorticoid_receptor_dis_0_0225	True	0	0.57714	0.42286
Glucocorticoid_receptor_dis_0_0827	True	1	0.08	0.92
Glucocorticoid_receptor_dis_0_0590	True	0	0.626	0.374
Glucocorticoid_receptor_dis_0_0252	True	1	0.02	0.98
Glucocorticoid_receptor_dis_0_1160	False	0	0.74	0.26
Glucocorticoid_receptor_dis_0_1405	False	0	0.804	0.196
Glucocorticoid_receptor_dis_0_0133	True	1	0.04	0.96
Glucocorticoid_receptor_dis_0_0106	True	1	0.04	0.96
Glucocorticoid_receptor_dis_0_0651	True	1	0.02333	0.97667
Glucocorticoid_receptor_dis_0_1329	False	0	0.98	0.02
Glucocorticoid_receptor_dis_0_0837	True	0	0.85167	0.14833
Glucocorticoid_receptor_dis_0_1004	False	0	0.98	0.02
Glucocorticoid_receptor_dis_0_1438	False	0	1.0	0.0
Glucocorticoid_receptor_dis_0_0823	True	1	0.26	0.74
Glucocorticoid_receptor_dis_0_1418	False	0	0.96	0.04
Glucocorticoid_receptor_dis_0_1842	False	0	0.528	0.472
Glucocorticoid_receptor_dis_0_1830	False	0	0.92	0.08
Glucocorticoid_receptor_dis_0_0364	True	1	0.3981	0.6019
Glucocorticoid_receptor_dis_0_0471	True	1	0.38	0.62
Glucocorticoid_receptor_dis_0_0445	True	1	0.01	0.99
Glucocorticoid_receptor_dis_0_1133	False	0	0.92	0.08
Glucocorticoid_receptor_dis_0_1334	False	0	0.78	0.22
Glucocorticoid_receptor_dis_0_0305	True	1	0.1	0.9
Glucocorticoid_receptor_dis_0_0088	True	1	0.12	0.88
Glucocorticoid_receptor_dis_0_0565	True	0	0.93333	0.06667
Glucocorticoid_receptor_dis_0_0027	True	0	0.85667	0.14333
Glucocorticoid_receptor_dis_0_0430	True	1	0.16433	0.83567
