QSPRID	pchembl_value_Label	pchembl_value_Prediction	pchembl_value_ProbabilityClass_0	pchembl_value_ProbabilityClass_1	Fold
Glucocorticoid_receptor_dis_0_0057	True	1	0.44	0.56	0.0
Glucocorticoid_receptor_dis_0_1350	False	0	0.73	0.27	0.0
Glucocorticoid_receptor_dis_0_1112	False	1	0.0	1.0	0.0
Glucocorticoid_receptor_dis_0_1600	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_dis_0_1797	False	0	0.68867	0.31133	0.0
Glucocorticoid_receptor_dis_0_1482	False	0	0.94	0.06	0.0
Glucocorticoid_receptor_dis_0_0620	True	1	0.18	0.82	0.0
Glucocorticoid_receptor_dis_0_0078	True	1	0.33333	0.66667	0.0
Glucocorticoid_receptor_dis_0_1050	False	0	0.74	0.26	0.0
Glucocorticoid_receptor_dis_0_0880	True	1	0.0	1.0	0.0
Glucocorticoid_receptor_dis_0_1067	False	1	0.43233	0.56767	0.0
Glucocorticoid_receptor_dis_0_0992	False	0	0.9	0.1	0.0
Glucocorticoid_receptor_dis_0_1020	False	0	0.7175	0.2825	0.0
Glucocorticoid_receptor_dis_0_0933	True	1	0.44	0.56	0.0
Glucocorticoid_receptor_dis_0_1002	False	1	0.17533	0.82467	0.0
Glucocorticoid_receptor_dis_0_1475	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_dis_0_0653	True	1	0.08	0.92	0.0
Glucocorticoid_receptor_dis_0_0706	True	1	0.0981	0.9019	0.0
Glucocorticoid_receptor_dis_0_1607	False	0	0.78	0.22	0.0
Glucocorticoid_receptor_dis_0_0560	True	1	0.0	1.0	0.0
Glucocorticoid_receptor_dis_0_1678	False	1	0.16	0.84	0.0
Glucocorticoid_receptor_dis_0_0815	True	0	0.56	0.44	0.0
Glucocorticoid_receptor_dis_0_1148	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_dis_0_1162	False	0	0.96	0.04	0.0
Glucocorticoid_receptor_dis_0_1703	False	0	0.82	0.18	0.0
Glucocorticoid_receptor_dis_0_1407	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_dis_0_1437	False	0	0.94	0.06	0.0
Glucocorticoid_receptor_dis_0_1156	False	0	0.59895	0.40105	0.0
Glucocorticoid_receptor_dis_0_0721	True	1	0.10667	0.89333	0.0
Glucocorticoid_receptor_dis_0_0623	True	1	0.3	0.7	0.0
Glucocorticoid_receptor_dis_0_1387	False	1	0.10767	0.89233	0.0
Glucocorticoid_receptor_dis_0_1211	False	0	0.948	0.052	0.0
Glucocorticoid_receptor_dis_0_1666	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_dis_0_0188	True	0	0.52	0.48	0.0
Glucocorticoid_receptor_dis_0_0866	True	1	0.07	0.93	0.0
Glucocorticoid_receptor_dis_0_0764	True	1	0.07	0.93	0.0
Glucocorticoid_receptor_dis_0_1585	False	0	0.72	0.28	0.0
Glucocorticoid_receptor_dis_0_0460	True	1	0.0	1.0	0.0
Glucocorticoid_receptor_dis_0_1762	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_dis_0_0062	True	1	0.0	1.0	0.0
Glucocorticoid_receptor_dis_0_0472	True	1	0.46	0.54	0.0
Glucocorticoid_receptor_dis_0_1549	False	1	0.18	0.82	0.0
Glucocorticoid_receptor_dis_0_0001	True	1	0.39167	0.60833	0.0
Glucocorticoid_receptor_dis_0_1000	False	0	0.94	0.06	0.0
Glucocorticoid_receptor_dis_0_0039	True	0	0.53	0.47	0.0
Glucocorticoid_receptor_dis_0_0847	True	1	0.31333	0.68667	0.0
Glucocorticoid_receptor_dis_0_1685	False	0	0.583	0.417	0.0
Glucocorticoid_receptor_dis_0_0869	True	1	0.01333	0.98667	0.0
Glucocorticoid_receptor_dis_0_0538	True	1	0.0	1.0	0.0
Glucocorticoid_receptor_dis_0_0361	True	1	0.39767	0.60233	0.0
Glucocorticoid_receptor_dis_0_1800	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_dis_0_0095	True	1	0.06	0.94	0.0
Glucocorticoid_receptor_dis_0_1189	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_dis_0_1618	False	0	0.72	0.28	0.0
Glucocorticoid_receptor_dis_0_0469	True	1	0.0	1.0	0.0
Glucocorticoid_receptor_dis_0_0171	True	1	0.24	0.76	0.0
Glucocorticoid_receptor_dis_0_1460	False	0	0.9	0.1	0.0
Glucocorticoid_receptor_dis_0_1818	False	0	0.92	0.08	0.0
Glucocorticoid_receptor_dis_0_1093	False	0	0.92	0.08	0.0
Glucocorticoid_receptor_dis_0_1779	False	0	0.92	0.08	0.0
Glucocorticoid_receptor_dis_0_0475	True	1	0.02	0.98	0.0
Glucocorticoid_receptor_dis_0_1552	False	0	0.64	0.36	0.0
Glucocorticoid_receptor_dis_0_1044	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_dis_0_1413	False	1	0.363	0.637	0.0
Glucocorticoid_receptor_dis_0_0413	True	1	0.1	0.9	0.0
Glucocorticoid_receptor_dis_0_0232	True	1	0.02	0.98	0.0
Glucocorticoid_receptor_dis_0_1853	False	0	0.976	0.024	0.0
Glucocorticoid_receptor_dis_0_1664	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_dis_0_1742	False	0	0.932	0.068	0.0
Glucocorticoid_receptor_dis_0_1436	False	0	0.9	0.1	0.0
Glucocorticoid_receptor_dis_0_1490	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_dis_0_0871	True	1	0.04	0.96	0.0
Glucocorticoid_receptor_dis_0_1238	False	0	0.89029	0.10971	0.0
Glucocorticoid_receptor_dis_0_1547	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_dis_0_1087	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_dis_0_0182	True	1	0.0	1.0	0.0
Glucocorticoid_receptor_dis_0_0708	True	1	0.11833	0.88167	0.0
