QSPRID	pchembl_value_Label	pchembl_value_Prediction	pchembl_value_ProbabilityClass_0	pchembl_value_ProbabilityClass_1	Fold
Glucocorticoid_receptor_sim_1_0348	True	1	0.48	0.52	0.0
Glucocorticoid_receptor_sim_1_1151	False	1	0.16643	0.83357	0.0
Glucocorticoid_receptor_sim_1_0472	True	1	0.04	0.96	0.0
Glucocorticoid_receptor_sim_1_0946	False	0	0.87	0.13	0.0
Glucocorticoid_receptor_sim_1_1588	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_sim_1_0436	True	1	0.06	0.94	0.0
Glucocorticoid_receptor_sim_1_0600	True	0	0.561	0.439	0.0
Glucocorticoid_receptor_sim_1_0951	False	0	0.88	0.12	0.0
Glucocorticoid_receptor_sim_1_1547	False	1	0.13667	0.86333	0.0
Glucocorticoid_receptor_sim_1_1690	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_sim_1_0987	False	0	0.63819	0.36181	0.0
Glucocorticoid_receptor_sim_1_1460	False	0	0.995	0.005	0.0
Glucocorticoid_receptor_sim_1_1138	False	0	0.892	0.108	0.0
Glucocorticoid_receptor_sim_1_0823	True	0	0.562	0.438	0.0
Glucocorticoid_receptor_sim_1_0753	True	1	0.34476	0.65524	0.0
Glucocorticoid_receptor_sim_1_0427	True	1	0.37024	0.62976	0.0
Glucocorticoid_receptor_sim_1_0489	True	1	0.08	0.92	0.0
Glucocorticoid_receptor_sim_1_1607	False	1	0.07	0.93	0.0
Glucocorticoid_receptor_sim_1_1037	False	0	0.872	0.128	0.0
Glucocorticoid_receptor_sim_1_0305	True	1	0.04	0.96	0.0
Glucocorticoid_receptor_sim_1_1683	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_sim_1_1318	False	1	0.19	0.81	0.0
Glucocorticoid_receptor_sim_1_0874	True	1	0.12167	0.87833	0.0
Glucocorticoid_receptor_sim_1_0302	True	1	0.06	0.94	0.0
Glucocorticoid_receptor_sim_1_0409	True	1	0.1	0.9	0.0
Glucocorticoid_receptor_sim_1_0975	False	0	0.79333	0.20667	0.0
Glucocorticoid_receptor_sim_1_1258	False	0	0.84	0.16	0.0
Glucocorticoid_receptor_sim_1_0358	True	0	0.78	0.22	0.0
Glucocorticoid_receptor_sim_1_0763	True	1	0.485	0.515	0.0
Glucocorticoid_receptor_sim_1_0970	False	0	0.9	0.1	0.0
Glucocorticoid_receptor_sim_1_0739	True	1	0.47167	0.52833	0.0
Glucocorticoid_receptor_sim_1_1452	False	0	0.59867	0.40133	0.0
Glucocorticoid_receptor_sim_1_1267	False	0	0.96	0.04	0.0
Glucocorticoid_receptor_sim_1_1385	False	0	0.94	0.06	0.0
Glucocorticoid_receptor_sim_1_1243	False	0	0.8	0.2	0.0
Glucocorticoid_receptor_sim_1_1709	False	0	0.86	0.14	0.0
Glucocorticoid_receptor_sim_1_0558	True	1	0.228	0.772	0.0
Glucocorticoid_receptor_sim_1_0570	True	1	0.02	0.98	0.0
Glucocorticoid_receptor_sim_1_0052	True	1	0.22	0.78	0.0
Glucocorticoid_receptor_sim_1_1628	False	0	0.92	0.08	0.0
Glucocorticoid_receptor_sim_1_1441	False	0	0.77238	0.22762	0.0
Glucocorticoid_receptor_sim_1_0008	True	1	0.02667	0.97333	0.0
Glucocorticoid_receptor_sim_1_1563	False	1	0.44	0.56	0.0
Glucocorticoid_receptor_sim_1_1682	False	0	0.87333	0.12667	0.0
Glucocorticoid_receptor_sim_1_0217	True	1	0.12	0.88	0.0
Glucocorticoid_receptor_sim_1_0340	True	1	0.315	0.685	0.0
Glucocorticoid_receptor_sim_1_1465	False	1	0.24	0.76	0.0
Glucocorticoid_receptor_sim_1_1520	False	0	0.94	0.06	0.0
Glucocorticoid_receptor_sim_1_0528	True	1	0.03333	0.96667	0.0
Glucocorticoid_receptor_sim_1_1036	False	0	0.9	0.1	0.0
Glucocorticoid_receptor_sim_1_1147	False	1	0.21748	0.78252	0.0
Glucocorticoid_receptor_sim_1_1754	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_sim_1_1383	False	0	0.84	0.16	0.0
Glucocorticoid_receptor_sim_1_1257	False	0	0.92	0.08	0.0
Glucocorticoid_receptor_sim_1_0584	True	1	0.0	1.0	0.0
Glucocorticoid_receptor_sim_1_1668	False	0	0.91	0.09	0.0
Glucocorticoid_receptor_sim_1_0886	False	0	0.7	0.3	0.0
Glucocorticoid_receptor_sim_1_0219	True	1	0.16	0.84	0.0
Glucocorticoid_receptor_sim_1_1240	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_sim_1_1543	False	0	0.972	0.028	0.0
Glucocorticoid_receptor_sim_1_0715	True	1	0.1	0.9	0.0
Glucocorticoid_receptor_sim_1_0547	True	1	0.25367	0.74633	0.0
Glucocorticoid_receptor_sim_1_1546	False	0	0.78	0.22	0.0
Glucocorticoid_receptor_sim_1_0486	True	1	0.0	1.0	0.0
Glucocorticoid_receptor_sim_1_0004	True	0	0.912	0.088	0.0
Glucocorticoid_receptor_sim_1_1032	False	0	0.50133	0.49867	0.0
Glucocorticoid_receptor_sim_1_0404	True	1	0.43643	0.56357	0.0
Glucocorticoid_receptor_sim_1_1548	False	1	0.439	0.561	0.0
Glucocorticoid_receptor_sim_1_0912	False	0	0.95333	0.04667	0.0
Glucocorticoid_receptor_sim_1_1181	False	0	0.86	0.14	0.0
Glucocorticoid_receptor_sim_1_1271	False	0	0.698	0.302	0.0
Glucocorticoid_receptor_sim_1_1352	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_sim_1_0703	True	0	0.91833	0.08167	0.0
Glucocorticoid_receptor_sim_1_0839	True	0	0.7	0.3	0.0
Glucocorticoid_receptor_sim_1_1667	False	0	0.95	0.05	0.0
Glucocorticoid_receptor_sim_1_1160	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_sim_1_0259	True	1	0.18033	0.81967	0.0
Glucocorticoid_receptor_sim_1_0313	True	1	0.0	1.0	0.0
Glucocorticoid_receptor_sim_1_1674	False	0	0.88	0.12	0.0
Glucocorticoid_receptor_sim_1_0921	False	0	0.94	0.06	0.0
Glucocorticoid_receptor_sim_1_0518	True	1	0.26667	0.73333	0.0
Glucocorticoid_receptor_sim_1_1747	False	0	0.98	0.02	0.0
Glucocorticoid_receptor_sim_1_1604	False	0	0.94	0.06	0.0
Glucocorticoid_receptor_sim_1_1453	False	0	0.85533	0.14467	0.0
Glucocorticoid_receptor_sim_1_1096	False	0	0.72	0.28	0.0
Glucocorticoid_receptor_sim_1_0517	True	1	0.11333	0.88667	0.0
Glucocorticoid_receptor_sim_1_0263	True	1	0.15	0.85	0.0
Glucocorticoid_receptor_sim_1_0166	True	1	0.40895	0.59105	0.0
Glucocorticoid_receptor_sim_1_0682	True	1	0.22926	0.77074	0.0
Glucocorticoid_receptor_sim_1_1532	False	0	0.92	0.08	0.0
Glucocorticoid_receptor_sim_1_0068	True	0	0.78	0.22	0.0
Glucocorticoid_receptor_sim_1_0164	True	1	0.0	1.0	0.0
Glucocorticoid_receptor_sim_1_1464	False	0	0.7	0.3	0.0
Glucocorticoid_receptor_sim_1_1634	False	0	0.92	0.08	0.0
Glucocorticoid_receptor_sim_1_1286	False	0	0.84	0.16	0.0
Glucocorticoid_receptor_sim_1_1384	False	0	0.8	0.2	0.0
Glucocorticoid_receptor_sim_1_0734	True	1	0.07467	0.92533	0.0
Glucocorticoid_receptor_sim_1_0240	True	1	0.06	0.94	0.0
Glucocorticoid_receptor_sim_1_0812	True	1	0.07333	0.92667	0.0
Glucocorticoid_receptor_sim_1_0911	False	0	1.0	0.0	0.0
Glucocorticoid_receptor_sim_1_1024	False	1	0.49783	0.50217	0.0
Glucocorticoid_receptor_sim_1_0069	True	1	0.042	0.958	0.0
Glucocorticoid_receptor_sim_1_0018	True	1	0.24	0.76	0.0
Glucocorticoid_receptor_sim_1_0380	True	1	0.06	0.94	0.0
Glucocorticoid_receptor_sim_1_0055	True	1	0.14	0.86	0.0
Glucocorticoid_receptor_sim_1_0361	True	0	0.9	0.1	0.0
Glucocorticoid_receptor_sim_1_1010	False	1	0.24	0.76	0.0
Glucocorticoid_receptor_sim_1_1025	False	1	0.22926	0.77074	0.0
Glucocorticoid_receptor_sim_1_0406	True	0	0.53	0.47	0.0
Glucocorticoid_receptor_sim_1_1207	False	0	0.582	0.418	0.0
Glucocorticoid_receptor_sim_1_1067	False	0	0.98	0.02	0.0
